"Time","Grouped CPU Load"
2025-04-03 08:38:30,32.6%
2025-04-03 08:38:40,36.6%
2025-04-03 08:38:50,36.7%
2025-04-03 08:39:00,36.1%
2025-04-03 08:39:10,36.4%
2025-04-03 08:39:20,36.4%
2025-04-03 08:39:30,36.9%
2025-04-03 08:39:40,36.9%
2025-04-03 08:39:50,36.5%
2025-04-03 08:40:00,36.6%
2025-04-03 08:40:10,37.3%
2025-04-03 08:40:20,37.0%
2025-04-03 08:40:30,36.1%
2025-04-03 08:40:40,37.3%
2025-04-03 08:40:50,36.5%
2025-04-03 08:41:00,36.9%
2025-04-03 08:41:10,36.7%
2025-04-03 08:41:20,37.3%
2025-04-03 08:41:30,36.4%
2025-04-03 08:41:40,37.2%
2025-04-03 08:41:50,36.3%
2025-04-03 08:42:00,36.4%
2025-04-03 08:42:10,36.9%
2025-04-03 08:42:20,36.2%
2025-04-03 08:42:30,36.6%
2025-04-03 08:42:40,35.7%
2025-04-03 08:42:50,36.2%
2025-04-03 08:43:00,35.7%
2025-04-03 08:43:10,36.2%
2025-04-03 08:43:20,36.2%
2025-04-03 08:43:30,36.7%
