Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Batched Query,990268,165,2,3924,89.10,0.000%,394.86684,266.28,269.14,690.5
TOTAL,990268,165,2,3924,89.10,0.000%,394.86684,266.28,269.14,690.5
