Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Simple Query,30957,4565,3,65295,11385.17,0.766%,18.66217,4.90,5.06,268.9
Nested Query,30720,5882,69,65662,10313.65,0.697%,18.51948,108.87,8.55,6019.5
Big Query,30506,5537,129,61937,11436.70,1.472%,18.39187,169.18,6.18,9419.2
TOTAL,92183,5326,3,65662,11071.38,0.976%,55.57177,282.93,19.79,5213.4
