"Time","Grouped CPU Load"
2025-04-03 11:33:55,63.4%
2025-04-03 11:34:00,63.7%
2025-04-03 11:34:05,63.0%
2025-04-03 11:34:10,63.8%
2025-04-03 11:34:15,64.2%
2025-04-03 11:34:20,65.1%
2025-04-03 11:34:25,63.7%
2025-04-03 11:34:30,64.7%
2025-04-03 11:34:35,64.2%
2025-04-03 11:34:40,62.4%
2025-04-03 11:34:45,61.7%
2025-04-03 11:34:50,66.9%
2025-04-03 11:34:55,64.1%
2025-04-03 11:35:00,63.3%
2025-04-03 11:35:05,64.7%
2025-04-03 11:35:10,65.1%
2025-04-03 11:35:15,62.1%
2025-04-03 11:35:20,64.2%
2025-04-03 11:35:25,65.0%
2025-04-03 11:35:30,65.3%
2025-04-03 11:35:35,63.9%
2025-04-03 11:35:40,64.7%
2025-04-03 11:35:45,59.2%
2025-04-03 11:35:50,65.4%
2025-04-03 11:35:55,66.6%
2025-04-03 11:36:00,61.5%
2025-04-03 11:36:05,66.3%
2025-04-03 11:36:10,67.9%
2025-04-03 11:36:15,72.0%
2025-04-03 11:36:20,56.1%
2025-04-03 11:36:25,70.1%
2025-04-03 11:36:30,60.3%
2025-04-03 11:36:35,75.3%
2025-04-03 11:36:40,66.3%
2025-04-03 11:36:45,62.7%
2025-04-03 11:36:50,63.4%
2025-04-03 11:36:55,66.6%
2025-04-03 11:37:00,61.7%
2025-04-03 11:37:05,63.3%
2025-04-03 11:37:10,62.8%
2025-04-03 11:37:15,65.8%
2025-04-03 11:37:20,64.2%
2025-04-03 11:37:25,65.3%
2025-04-03 11:37:30,63.9%
2025-04-03 11:37:35,65.5%
2025-04-03 11:37:40,63.9%
2025-04-03 11:37:45,65.3%
2025-04-03 11:37:50,61.5%
2025-04-03 11:37:55,60.5%
2025-04-03 11:38:00,62.4%
2025-04-03 11:38:05,61.6%
2025-04-03 11:38:10,58.5%
2025-04-03 11:38:15,69.8%
2025-04-03 11:38:20,68.0%
2025-04-03 11:38:25,60.3%
2025-04-03 11:38:30,60.8%
2025-04-03 11:38:35,64.7%
2025-04-03 11:38:40,64.6%
2025-04-03 11:38:45,63.5%
2025-04-03 11:38:50,62.0%
2025-04-03 11:38:55,66.2%
