"Time","Grouped CPU Load"
2025-04-02 11:29:40,35.1%
2025-04-02 11:29:50,58.2%
2025-04-02 11:30:00,58.2%
2025-04-02 11:30:10,58.5%
2025-04-02 11:30:20,58.9%
2025-04-02 11:30:30,58.6%
2025-04-02 11:30:40,57.3%
2025-04-02 11:30:50,57.8%
2025-04-02 11:31:00,58.2%
2025-04-02 11:31:10,58.4%
2025-04-02 11:31:20,58.8%
2025-04-02 11:31:30,59.1%
2025-04-02 11:31:40,57.3%
2025-04-02 11:31:50,58.3%
2025-04-02 11:32:00,58.4%
2025-04-02 11:32:10,58.7%
2025-04-02 11:32:20,58.9%
2025-04-02 11:32:30,58.9%
2025-04-02 11:32:40,57.5%
2025-04-02 11:32:50,58.2%
2025-04-02 11:33:00,58.5%
2025-04-02 11:33:10,58.4%
2025-04-02 11:33:20,58.6%
2025-04-02 11:33:30,58.9%
2025-04-02 11:33:40,57.4%
2025-04-02 11:33:50,57.7%
2025-04-02 11:34:00,56.1%
2025-04-02 11:34:10,58.3%
2025-04-02 11:34:20,58.0%
2025-04-02 11:34:30,55.2%
2025-04-02 11:34:40,54.9%
