"Time","Grouped CPU Load"
2025-04-03 11:19:20,16.1%
2025-04-03 11:19:30,28.0%
2025-04-03 11:19:40,28.1%
2025-04-03 11:19:50,28.1%
2025-04-03 11:20:00,27.7%
2025-04-03 11:20:10,27.4%
2025-04-03 11:20:20,27.3%
2025-04-03 11:20:30,28.0%
2025-04-03 11:20:40,28.4%
2025-04-03 11:20:50,28.1%
2025-04-03 11:21:00,28.7%
2025-04-03 11:21:10,27.7%
2025-04-03 11:21:20,28.4%
2025-04-03 11:21:30,27.7%
2025-04-03 11:21:40,27.3%
2025-04-03 11:21:50,28.4%
2025-04-03 11:22:00,27.4%
2025-04-03 11:22:10,27.3%
2025-04-03 11:22:20,28.2%
2025-04-03 11:22:30,27.8%
2025-04-03 11:22:40,27.7%
2025-04-03 11:22:50,28.8%
2025-04-03 11:23:00,27.9%
2025-04-03 11:23:10,26.8%
2025-04-03 11:23:20,28.3%
2025-04-03 11:23:30,28.3%
2025-04-03 11:23:40,27.1%
2025-04-03 11:23:50,28.1%
2025-04-03 11:24:00,28.0%
2025-04-03 11:24:10,28.3%
2025-04-03 11:24:20,27.1%
