"Time","Grouped CPU Load"
2025-04-03 13:16:40,24.0%
2025-04-03 13:16:50,64.9%
2025-04-03 13:17:00,65.4%
2025-04-03 13:17:10,63.4%
2025-04-03 13:17:20,64.6%
2025-04-03 13:17:30,64.0%
2025-04-03 13:17:40,61.2%
2025-04-03 13:17:50,63.2%
2025-04-03 13:18:00,64.1%
2025-04-03 13:18:10,61.5%
2025-04-03 13:18:20,59.8%
2025-04-03 13:18:30,59.3%
2025-04-03 13:18:40,59.8%
2025-04-03 13:18:50,59.6%
2025-04-03 13:19:00,59.3%
2025-04-03 13:19:10,60.1%
2025-04-03 13:19:20,59.4%
2025-04-03 13:19:30,59.8%
2025-04-03 13:19:40,63.6%
2025-04-03 13:19:50,58.5%
2025-04-03 13:20:00,58.4%
2025-04-03 13:20:10,58.4%
2025-04-03 13:20:20,60.7%
2025-04-03 13:20:30,62.7%
2025-04-03 13:20:40,61.9%
2025-04-03 13:20:50,60.1%
2025-04-03 13:21:00,58.6%
2025-04-03 13:21:10,63.4%
2025-04-03 13:21:20,60.3%
2025-04-03 13:21:30,61.4%
2025-04-03 13:21:40,62.3%
