Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Simple Query,46576,5895,5,62789,14500.97,0.857%,17.45620,4.62,4.73,271.1
Nested Query,46177,6548,20,68096,13434.57,0.797%,17.30672,101.68,7.93,6016.3
Big Query,45809,7232,101,68184,15545.58,0.945%,17.16917,158.53,5.80,9455.2
TOTAL,138562,6555,5,68184,14526.69,0.866%,51.93159,264.83,18.46,5222.1
