Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Batched Query,238632,907,27,27094,1227.32,0.084%,109.28005,73.87,74.42,692.2
TOTAL,238632,907,27,27094,1227.32,0.084%,109.28005,73.87,74.42,692.2
