Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Person,202810,167,5,5034,116.95,0.023%,99.80296,24.46,27.27,251.0
Film,202764,169,4,4804,96.24,0.023%,99.81422,27.07,27.29,277.7
Planet,202717,165,1,4841,94.78,0.036%,99.80562,25.09,27.36,257.4
Species,202644,165,3,5004,98.19,0.027%,99.78373,25.75,28.23,264.2
Starship,202590,164,4,4512,97.85,0.020%,99.76491,26.13,28.89,268.2
Vehicle,202549,164,3,4540,99.59,0.019%,99.75125,21.80,26.19,223.8
TOTAL,1216074,166,1,5034,100.89,0.025%,598.43069,150.22,165.15,257.0
