Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Batched Query,7970893,20,0,109,2.81,0.000%,4038.89931,2769.67,2752.89,702.2
TOTAL,7970893,20,0,109,2.81,0.000%,4038.89931,2769.67,2752.89,702.2
