"Time","Grouped CPU Load"
2025-04-03 12:29:20,5.02%
2025-04-03 12:29:30,66.6%
2025-04-03 12:29:40,62.9%
2025-04-03 12:29:50,63.2%
2025-04-03 12:30:00,61.6%
2025-04-03 12:30:10,63.4%
2025-04-03 12:30:20,63.7%
2025-04-03 12:30:30,61.7%
2025-04-03 12:30:40,62.2%
2025-04-03 12:30:50,62.2%
2025-04-03 12:31:00,62.3%
2025-04-03 12:31:10,62.1%
2025-04-03 12:31:20,63.3%
2025-04-03 12:31:30,64.9%
2025-04-03 12:31:40,63.3%
2025-04-03 12:31:50,62.4%
2025-04-03 12:32:00,62.7%
2025-04-03 12:32:10,63.7%
2025-04-03 12:32:20,64.4%
2025-04-03 12:32:30,67.5%
2025-04-03 12:32:40,66.3%
2025-04-03 12:32:50,65.5%
2025-04-03 12:33:00,63.5%
2025-04-03 12:33:10,63.0%
2025-04-03 12:33:20,64.7%
2025-04-03 12:33:30,63.9%
2025-04-03 12:33:40,62.3%
2025-04-03 12:33:50,65.8%
2025-04-03 12:34:00,65.3%
2025-04-03 12:34:10,63.9%
2025-04-03 12:34:20,63.2%
