Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Unoptimized Query,43559,6006,214,59401,3372.49,0.230%,16.64396,920.92,11.01,56658.8
TOTAL,43559,2106,214,59401,372.49,0.230%,16.64396,920.92,11.01,56658.8
