Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Optimized Query,48794,5905,379,52996,2800.86,0.205%,16.69495,231.22,6.52,14182.4
TOTAL,48794,5905,379,52996,2800.86,0.205%,16.69495,231.22,6.52,14182.4
