Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Batched Query,1311279,253,1,1138,73.41,0.023%,360.98875,248.13,245.99,703.9
TOTAL,1311279,253,1,1138,73.41,0.023%,360.98875,248.13,245.99,703.9
