Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Big Query,19120,5226,51,6522,620.32,1.569%,57.30985,526.79,19.23,9412.5
TOTAL,19120,1726,51,6522,220.32,1.569%,57.30985,526.79,19.23,9412.5
