Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Optimized Query,10589,1879,6,3242,396.61,0.293%,18.47696,243.23,6.78,13479.9
TOTAL,10589,1879,6,3242,396.61,0.293%,18.47696,243.23,6.78,13479.9
