Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Batched Query,18185,803,5,1109,148.89,0.550%,120.31334,82.41,81.55,701.4
TOTAL,18185,803,5,1109,148.89,0.550%,120.31334,82.41,81.55,701.4
