Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Big Query,21605,3426,7,4299,362.10,0.926%,58.12514,536.78,19.63,9456.6
TOTAL,21605,1426,7,4299,162.10,0.926%,58.12514,536.78,19.63,9456.6
