Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Optimized Query,1182,5217,243,8729,1556.81,8.460%,19.01055,245.61,6.81,13229.9
TOTAL,1182,2217,243,8729,456.81,8.460%,19.01055,245.61,6.81,13229.9
