Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Batched Query,1311450,160,1,1138,74.12,0.024%,362.12,249.01,246.73,705.5
TOTAL,1311450,160,1,1138,74.12,0.024%,362.12,249.01,246.73,705.5
