Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Big Query,19263,1682,19,2459,191.15,0.519%,58.95549,544.39,19.70,9455.6
TOTAL,19263,1182,19,2459,91.15,0.519%,58.95549,544.39,19.70,9455.6
