Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Big Query,24167,7008,38,8848,897.76,1.655%,56.84962,522.23,19.05,9406.6
TOTAL,24167,2008,38,8848,397.76,1.655%,56.84962,522.23,19.05,9406.6
