"Time","Grouped CPU Load"
2025-04-03 13:23:20,62.4%
2025-04-03 13:23:30,60.1%
2025-04-03 13:23:40,61.5%
2025-04-03 13:23:50,60.2%
2025-04-03 13:24:00,60.2%
2025-04-03 13:24:10,60.5%
2025-04-03 13:24:20,59.4%
2025-04-03 13:24:30,59.8%
2025-04-03 13:24:40,58.6%
2025-04-03 13:24:50,58.7%
2025-04-03 13:25:00,58.1%
2025-04-03 13:25:10,59.9%
2025-04-03 13:25:20,62.6%
2025-04-03 13:25:30,65.2%
2025-04-03 13:25:40,58.9%
2025-04-03 13:25:50,61.7%
2025-04-03 13:26:00,58.4%
2025-04-03 13:26:10,59.2%
2025-04-03 13:26:20,59.5%
2025-04-03 13:26:30,59.5%
2025-04-03 13:26:40,60.9%
2025-04-03 13:26:50,61.6%
2025-04-03 13:27:00,64.2%
2025-04-03 13:27:10,62.2%
2025-04-03 13:27:20,62.3%
2025-04-03 13:27:30,62.5%
2025-04-03 13:27:40,60.8%
2025-04-03 13:27:50,58.8%
2025-04-03 13:28:00,59.3%
2025-04-03 13:28:10,62.7%
2025-04-03 13:28:20,64.0%
