Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Big Query,41992,856,13,1612,107.25,0.000%,229.12768,2130.17,78.09,9520.0
TOTAL,41992,856,13,1612,107.25,0.000%,229.12768,2130.17,78.09,9520.0
