Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Big Query,42636,560,6,1039,63.75,0.000%,337.45429,3137.27,115.01,9520.0
TOTAL,42636,560,6,1039,63.75,0.000%,337.45429,3137.27,115.01,9520.0
