Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Big Query,41670,1150,15,2366,177.48,0.000%,312.95296,2909.48,106.66,9520.0
TOTAL,41670,1150,15,2366,177.48,0.000%,312.95296,2909.48,106.66,9520.0
