Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Person,4013493,6,0,269,2.10,0.000%,1722.60755,421.27,470.84,250.4
Film,4013409,6,0,269,2.13,0.000%,1722.57298,486.16,471.02,289.0
Planet,4013326,6,0,269,2.08,0.000%,1722.53735,431.59,472.44,256.6
Species,4013248,6,0,269,2.10,0.000%,1722.50388,443.36,487.41,263.6
Starship,4013171,6,0,269,2.08,0.000%,1722.47157,450.29,498.84,267.7
Vehicle,4013071,6,0,269,2.11,0.000%,1722.43234,375.57,452.30,223.3
TOTAL,24079718,6,0,269,2.10,0.000%,10335.10866,2608.23,2852.84,258.4
