Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Simple Query,8216,2707,5,61040,7254.20,0.596%,19.63305,5.08,5.33,264.8
Nested Query,8167,4115,58,62788,7370.62,0.931%,19.51624,114.58,8.99,6011.8
Big Query,8091,3403,102,61519,7430.53,0.927%,19.33726,178.58,6.53,9456.5
TOTAL,24474,3407,5,62788,7374.21,0.817%,58.48308,298.20,20.85,5221.3
