"Time","Grouped CPU Load"
2025-04-03 09:08:40,28.5%
2025-04-03 09:08:50,36.5%
2025-04-03 09:09:00,36.5%
2025-04-03 09:09:10,36.1%
2025-04-03 09:09:20,36.7%
2025-04-03 09:09:30,36.0%
2025-04-03 09:09:40,36.6%
2025-04-03 09:09:50,35.7%
2025-04-03 09:10:00,36.3%
2025-04-03 09:10:10,35.8%
2025-04-03 09:10:20,36.5%
2025-04-03 09:10:30,36.0%
2025-04-03 09:10:40,37.0%
2025-04-03 09:10:50,36.1%
2025-04-03 09:11:00,36.8%
2025-04-03 09:11:10,35.9%
2025-04-03 09:11:20,36.2%
2025-04-03 09:11:30,36.1%
2025-04-03 09:11:40,36.8%
2025-04-03 09:11:50,36.1%
2025-04-03 09:12:00,36.9%
2025-04-03 09:12:10,37.6%
2025-04-03 09:12:20,36.8%
2025-04-03 09:12:30,37.0%
2025-04-03 09:12:40,37.3%
2025-04-03 09:12:50,37.0%
2025-04-03 09:13:00,36.2%
2025-04-03 09:13:10,36.6%
2025-04-03 09:13:20,37.0%
2025-04-03 09:13:30,35.7%
2025-04-03 09:13:40,36.6%
