"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-03 14:21:40,50.2%
2025-04-03 14:21:45,52.9%
2025-04-03 14:21:50,52.3%
2025-04-03 14:21:55,50.5%
2025-04-03 14:22:00,57.4%
2025-04-03 14:22:05,63.0%
2025-04-03 14:22:10,65.1%
2025-04-03 14:22:15,64.2%
2025-04-03 14:22:20,63.1%
2025-04-03 14:22:25,64.3%
2025-04-03 14:22:30,53.5%
2025-04-03 14:22:35,62.4%
2025-04-03 14:22:40,63.4%
2025-04-03 14:22:45,63.0%
2025-04-03 14:22:50,64.8%
2025-04-03 14:22:55,64.6%
2025-04-03 14:23:00,63.5%
2025-04-03 14:23:05,66.6%
2025-04-03 14:23:10,64.0%
2025-04-03 14:23:15,62.8%
2025-04-03 14:23:20,64.0%
2025-04-03 14:23:25,65.2%
2025-04-03 14:23:30,51.2%
2025-04-03 14:23:35,47.6%
2025-04-03 14:23:40,57.9%
2025-04-03 14:23:45,63.0%
2025-04-03 14:23:50,63.8%
2025-04-03 14:23:55,62.7%
2025-04-03 14:24:00,65.3%
2025-04-03 14:24:05,63.6%
2025-04-03 14:24:10,63.5%
2025-04-03 14:24:15,64.6%
2025-04-03 14:24:20,63.2%
2025-04-03 14:24:25,63.2%
2025-04-03 14:24:30,68.0%
2025-04-03 14:24:35,82.8%
2025-04-03 14:24:40,70.7%
2025-04-03 14:24:45,48.6%
2025-04-03 14:24:50,65.3%
2025-04-03 14:24:55,83.6%
2025-04-03 14:25:00,66.8%
2025-04-03 14:25:05,45.5%
2025-04-03 14:25:10,62.5%
2025-04-03 14:25:15,76.0%
2025-04-03 14:25:20,81.5%
2025-04-03 14:25:25,51.5%
2025-04-03 14:25:30,50.0%
2025-04-03 14:25:35,73.5%
2025-04-03 14:25:40,82.3%
2025-04-03 14:25:45,68.8%
2025-04-03 14:25:50,55.0%
2025-04-03 14:25:55,74.9%
2025-04-03 14:26:00,66.1%
2025-04-03 14:26:05,58.5%
2025-04-03 14:26:10,83.7%
2025-04-03 14:26:15,59.6%
2025-04-03 14:26:20,59.9%
2025-04-03 14:26:25,80.1%
2025-04-03 14:26:30,55.5%
2025-04-03 14:26:35,64.0%
2025-04-03 14:26:40,73.1%
