"Time","Grouped CPU Load"
2025-04-02 09:49:40,52.7%
2025-04-02 09:49:50,57.3%
2025-04-02 09:50:00,57.5%
2025-04-02 09:50:10,58.2%
2025-04-02 09:50:20,58.2%
2025-04-02 09:50:30,58.1%
2025-04-02 09:50:40,57.1%
2025-04-02 09:50:50,54.2%
2025-04-02 09:51:00,54.5%
2025-04-02 09:51:10,55.9%
2025-04-02 09:51:20,56.0%
2025-04-02 09:51:30,55.5%
2025-04-02 09:51:40,53.6%
2025-04-02 09:51:50,56.5%
2025-04-02 09:52:00,56.5%
2025-04-02 09:52:10,56.8%
2025-04-02 09:52:20,56.7%
2025-04-02 09:52:30,56.2%
2025-04-02 09:52:40,53.5%
2025-04-02 09:52:50,56.1%
2025-04-02 09:53:00,55.3%
2025-04-02 09:53:10,57.8%
2025-04-02 09:53:20,57.9%
2025-04-02 09:53:30,59.2%
2025-04-02 09:53:40,58.2%
2025-04-02 09:53:50,58.8%
2025-04-02 09:54:00,57.6%
2025-04-02 09:54:10,58.2%
2025-04-02 09:54:20,58.4%
2025-04-02 09:54:30,57.9%
2025-04-02 09:54:40,56.7%
