Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Optimized Query,204980,962,10,9887,283.26,0.000%,77.09261,1069.51,30.19,14206.0
TOTAL,204980,962,10,9887,283.26,0.000%,77.09261,1069.51,30.19,14206.0
