"Time","Grouped CPU Load"
2025-04-03 12:22:40,52.8%
2025-04-03 12:22:50,66.9%
2025-04-03 12:23:00,68.0%
2025-04-03 12:23:10,67.6%
2025-04-03 12:23:20,67.0%
2025-04-03 12:23:30,66.6%
2025-04-03 12:23:40,67.8%
2025-04-03 12:23:50,65.8%
2025-04-03 12:24:00,68.5%
2025-04-03 12:24:10,68.7%
2025-04-03 12:24:20,68.6%
2025-04-03 12:24:30,68.0%
2025-04-03 12:24:40,68.5%
2025-04-03 12:24:50,66.3%
2025-04-03 12:25:00,68.3%
2025-04-03 12:25:10,68.4%
2025-04-03 12:25:20,69.3%
2025-04-03 12:25:30,68.2%
2025-04-03 12:25:40,69.0%
2025-04-03 12:25:50,68.1%
2025-04-03 12:26:00,66.8%
2025-04-03 12:26:10,67.0%
2025-04-03 12:26:20,67.8%
2025-04-03 12:26:30,67.4%
2025-04-03 12:26:40,66.5%
2025-04-03 12:26:50,68.0%
2025-04-03 12:27:00,66.8%
2025-04-03 12:27:10,68.8%
2025-04-03 12:27:20,63.7%
2025-04-03 12:27:30,66.2%
2025-04-03 12:27:40,64.9%
