Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Person,878730,31,0,92,4.73,0.000%,187.85908,45.94,51.35,250.4
Film,878649,31,1,97,4.68,0.000%,187.84188,50.84,51.36,277.2
Planet,878562,31,0,99,4.43,0.000%,187.82332,47.06,51.51,256.6
Species,878470,31,0,103,4.43,0.000%,187.80369,48.34,53.14,263.6
Starship,878391,30,0,96,4.37,0.000%,187.78685,49.09,54.38,267.7
Vehicle,878306,30,0,91,4.39,0.000%,187.76867,40.94,49.31,223.3
TOTAL,5271108,31,0,103,4.52,0.000%,1126.88254,282.22,311.06,256.5
