"Time","Grouped CPU Load"
2025-04-03 15:02:00,2.03%
2025-04-03 15:02:10,52.7%
2025-04-03 15:02:20,53.3%
2025-04-03 15:02:30,53.5%
2025-04-03 15:02:40,53.4%
2025-04-03 15:02:50,52.0%
2025-04-03 15:03:00,51.8%
2025-04-03 15:03:10,48.5%
2025-04-03 15:03:20,50.7%
2025-04-03 15:03:30,50.9%
2025-04-03 15:03:40,50.6%
2025-04-03 15:03:50,50.0%
2025-04-03 15:04:00,51.2%
2025-04-03 15:04:10,47.3%
2025-04-03 15:04:20,51.5%
2025-04-03 15:04:30,51.2%
2025-04-03 15:04:40,50.8%
2025-04-03 15:04:50,51.4%
2025-04-03 15:05:00,52.2%
2025-04-03 15:05:10,50.6%
2025-04-03 15:05:20,51.5%
2025-04-03 15:05:30,49.9%
2025-04-03 15:05:40,50.1%
2025-04-03 15:05:50,51.1%
2025-04-03 15:06:00,52.2%
2025-04-03 15:06:10,50.5%
2025-04-03 15:06:20,50.2%
2025-04-03 15:06:30,51.5%
2025-04-03 15:06:40,52.1%
2025-04-03 15:06:50,49.9%
2025-04-03 15:07:00,52.1%
