"Time","Grouped CPU Load"
2025-04-13 13:09:40,12.9%
2025-04-13 13:09:45,12.5%
2025-04-13 13:09:50,12.8%
2025-04-13 13:09:55,12.6%
2025-04-13 13:10:00,12.5%
2025-04-13 13:10:05,13.6%
2025-04-13 13:10:10,14.8%
2025-04-13 13:10:15,13.9%
2025-04-13 13:10:20,13.6%
2025-04-13 13:10:25,13.0%
2025-04-13 13:10:30,15.2%
2025-04-13 13:10:35,13.7%
2025-04-13 13:10:40,13.2%
2025-04-13 13:10:45,13.5%
2025-04-13 13:10:50,12.4%
2025-04-13 13:10:55,12.7%
2025-04-13 13:11:00,13.5%
2025-04-13 13:11:05,13.6%
2025-04-13 13:11:10,13.1%
2025-04-13 13:11:15,13.3%
2025-04-13 13:11:20,12.8%
2025-04-13 13:11:25,13.6%
2025-04-13 13:11:30,14.2%
2025-04-13 13:11:35,13.1%
2025-04-13 13:11:40,12.7%
2025-04-13 13:11:45,13.3%
2025-04-13 13:11:50,13.4%
2025-04-13 13:11:55,13.3%
2025-04-13 13:12:00,12.5%
2025-04-13 13:12:05,12.4%
2025-04-13 13:12:10,13.0%
2025-04-13 13:12:15,14.1%
2025-04-13 13:12:20,12.6%
2025-04-13 13:12:25,12.7%
2025-04-13 13:12:30,16.6%
2025-04-13 13:12:35,12.7%
2025-04-13 13:12:40,12.3%
2025-04-13 13:12:45,14.9%
2025-04-13 13:12:50,13.3%
2025-04-13 13:12:55,13.9%
2025-04-13 13:13:00,12.5%
2025-04-13 13:13:05,13.3%
2025-04-13 13:13:10,14.2%
2025-04-13 13:13:15,14.4%
2025-04-13 13:13:20,13.5%
2025-04-13 13:13:25,12.6%
2025-04-13 13:13:30,14.1%
2025-04-13 13:13:35,15.1%
2025-04-13 13:13:40,12.8%
2025-04-13 13:13:45,13.4%
2025-04-13 13:13:50,12.9%
2025-04-13 13:13:55,13.1%
2025-04-13 13:14:00,12.7%
2025-04-13 13:14:05,11.9%
2025-04-13 13:14:10,13.2%
2025-04-13 13:14:15,12.3%
2025-04-13 13:14:20,12.8%
2025-04-13 13:14:25,14.0%
2025-04-13 13:14:30,14.2%
2025-04-13 13:14:35,13.1%
2025-04-13 13:14:40,13.8%
