Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Person,277013,163,4,5192,99.60,0.012%,101.52623,24.86,27.75,250.7
Film,276981,170,1,5012,102.29,0.013%,101.54692,27.52,27.76,277.5
Planet,276946,164,4,4641,105.80,0.012%,101.55188,25.47,27.85,256.8
Species,276914,162,5,4981,100.40,0.008%,101.55706,26.16,28.73,263.8
Starship,276892,161,2,4441,96.27,0.015%,101.55729,26.58,29.41,268.1
Vehicle,276850,161,4,4833,97.26,0.013%,101.54967,22.17,26.66,223.6
TOTAL,1661596,163,1,5192,100.37,0.012%,608.98006,152.68,168.08,256.7
