Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Big Query,21415,278,7,350,28.91,0.000%,355.30595,3303.23,121.10,9520.0
TOTAL,21415,278,7,350,28.91,0.000%,355.30595,3303.23,121.10,9520.0
