"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-14 14:18:05,79.8%
2025-04-14 14:18:10,79.5%
2025-04-14 14:18:15,79.7%
2025-04-14 14:18:20,79.8%
2025-04-14 14:18:25,75.6%
2025-04-14 14:18:30,79.2%
2025-04-14 14:18:35,79.3%
2025-04-14 14:18:40,80.6%
2025-04-14 14:18:45,80.2%
2025-04-14 14:18:50,77.9%
2025-04-14 14:18:55,78.4%
2025-04-14 14:19:00,80.6%
2025-04-14 14:19:05,80.4%
2025-04-14 14:19:10,81.0%
2025-04-14 14:19:15,79.5%
2025-04-14 14:19:20,80.3%
2025-04-14 14:19:25,76.9%
2025-04-14 14:19:30,77.4%
2025-04-14 14:19:35,79.6%
2025-04-14 14:19:40,76.8%
2025-04-14 14:19:45,80.8%
2025-04-14 14:19:50,80.7%
2025-04-14 14:19:55,79.5%
2025-04-14 14:20:00,80.5%
2025-04-14 14:20:05,80.6%
2025-04-14 14:20:10,80.0%
2025-04-14 14:20:15,79.1%
2025-04-14 14:20:20,80.0%
2025-04-14 14:20:25,78.2%
2025-04-14 14:20:30,78.6%
2025-04-14 14:20:35,80.8%
2025-04-14 14:20:40,80.2%
2025-04-14 14:20:45,80.2%
2025-04-14 14:20:50,79.4%
2025-04-14 14:20:55,79.3%
2025-04-14 14:21:00,79.6%
2025-04-14 14:21:05,80.1%
2025-04-14 14:21:10,80.1%
2025-04-14 14:21:15,78.6%
2025-04-14 14:21:20,77.5%
2025-04-14 14:21:25,79.2%
2025-04-14 14:21:30,77.2%
2025-04-14 14:21:35,80.5%
2025-04-14 14:21:40,79.8%
2025-04-14 14:21:45,79.8%
2025-04-14 14:21:50,81.0%
2025-04-14 14:21:55,79.0%
2025-04-14 14:22:00,80.2%
2025-04-14 14:22:05,80.7%
2025-04-14 14:22:10,80.3%
2025-04-14 14:22:15,79.9%
2025-04-14 14:22:20,80.4%
2025-04-14 14:22:25,78.6%
2025-04-14 14:22:30,78.0%
2025-04-14 14:22:35,78.7%
2025-04-14 14:22:40,80.4%
2025-04-14 14:22:45,80.5%
2025-04-14 14:22:50,80.7%
2025-04-14 14:22:55,75.9%
2025-04-14 14:23:00,80.3%
2025-04-14 14:23:05,78.3%
